sasdate,INDPRO,IPMANSICS,CUMFNS,UNRATE,CLAIMSx,CES0600000007,PERMIT,ANDENOx,CMRMTSPLx,BUSLOANS,M2REAL,COMPAPFFx,T10YFFM,HOUST,OILPRICEx,S&P 500
Transform:,5.0,5.0,2.0,2.0,5,1.0,4.0,5.0,5.0,6.0,5.0,1.0,1.0,4.0,6.0,5.0
1/1/1959,21.9998,20.8769,80.1973,6.0,291078,39.8,,,276676.8154,35.213,987.9,0.82,1.54,1657.0,3.0,55.62
2/1/1959,22.4306,21.2606,81.4428,5.9,282958,39.7,,,278713.9773,35.2201,992.1,0.83,1.53,1667.0,3.0,54.77
3/1/1959,22.7538,21.5932,82.4769,5.6,260346,40.0,,,277775.2539,35.1304,998.3,0.55,1.19,1620.0,2.97,56.16
4/1/1959,23.2384,22.0538,83.9922,5.2,246413,40.2,,,283362.7075,35.5581,1001.0,0.46,1.16,1590.0,2.97,57.1
5/1/1959,23.5885,22.3608,84.9159,5.1,246952,40.3,,,285307.2201,36.3064,1006.2,0.66,1.41,1498.0,2.97,57.96
6/1/1959,23.6155,22.3864,84.7686,5.0,258258,40.2,,,285279.593,37.1404,1010.3,0.44,0.95,1503.0,2.97,57.46
7/1/1959,23.05,21.977,82.9798,5.1,263248,39.9,,,288768.1868,37.6645,1012.7,0.51,0.93,1547.0,2.97,59.74
8/1/1959,22.2691,21.1072,79.4676,5.2,287143,40.0,,,273993.2729,38.089,1015.8,0.47,0.93,1430.0,2.97,59.4
9/1/1959,22.2421,21.056,79.0489,5.5,273947,40.0,,,278039.483,38.2605,1014.4,0.87,0.92,1540.0,2.97,57.05
10/1/1959,22.0806,20.8769,78.1537,5.7,312319,39.6,,,278490.1725,38.4113,1010.2,0.75,0.55,1355.0,2.97,57.0
11/1/1959,22.2152,21.0304,78.5051,5.8,350763,39.6,,,268450.0374,38.6978,1012.3,0.67,0.53,1416.0,2.97,57.23
12/1/1959,23.5885,22.4631,83.5682,5.3,271771,40.0,,,282104.7801,39.2932,1012.6,0.89,0.7,1601.0,2.97,59.06
1/1/1960,24.2078,23.0771,85.5616,5.2,276008,40.1,1092.0,,286930.9859,39.6291,1015.3,0.92,0.73,1460.0,2.97,58.03
2/1/1960,23.9924,22.898,84.6108,4.8,270543,39.7,1088.0,,291093.6977,39.7872,1014.6,0.69,0.52,1503.0,2.97,55.78
3/1/1960,23.777,22.6166,83.2421,5.4,308942,39.5,955.0,,283044.8908,40.018,1017.7,0.65,0.41,1109.0,2.97,55.02
4/1/1960,23.5885,22.4375,82.2593,5.2,299584,39.8,1016.0,,285847.3937,40.5152,1015.9,0.24,0.36,1289.0,2.97,55.73
5/1/1960,23.5616,22.3096,81.4711,5.1,317341,39.6,1052.0,,276978.5849,40.8926,1017.6,0.4,0.5,1271.0,2.97,55.22
6/1/1960,23.2654,22.0538,80.2236,5.4,321768,39.5,958.0,,279357.6743,41.3564,1020.9,0.49,0.83,1247.0,2.97,57.26
7/1/1960,23.1846,22.0026,79.7275,5.5,334039,39.6,999.0,,277446.1706,41.3958,1029.1,0.16,0.67,1197.0,2.97,55.84
8/1/1960,23.1577,21.9003,79.0505,5.6,361521,39.4,994.0,,277095.3541,41.3249,1036.5,0.36,0.82,1344.0,2.97,56.51
9/1/1960,22.9153,21.67,77.9187,5.5,353888,39.1,984.0,,281589.7872,41.4006,1041.5,0.79,1.2,1097.0,2.97,54.81
10/1/1960,22.8884,21.6444,77.5287,6.1,375119,39.4,972.0,,276281.2293,41.5247,1040.3,0.83,1.42,1246.0,2.97,53.73
11/1/1960,22.5653,21.2351,75.7724,6.1,383790,39.0,979.0,,273580.9078,41.6827,1044.0,0.84,1.49,1246.0,2.97,55.47
12/1/1960,22.1344,20.8769,74.2557,6.6,372391,38.0,951.0,,275729.4584,42.1051,1048.0,1.25,1.86,1063.0,2.97,56.8
1/1/1961,22.1613,20.9025,74.1095,6.6,380579,39.2,969.0,,265935.1877,42.0358,1052.6,1.53,2.39,1183.0,2.97,59.72
2/1/1961,22.1344,20.8001,73.512,6.9,433704,39.2,961.0,,269205.1952,41.9503,1060.7,0.49,1.24,1226.0,2.97,62.17
3/1/1961,22.2691,20.9536,73.8637,6.9,382956,39.1,1000.0,,275625.1907,42.0518,1066.7,1.01,1.72,1312.0,2.97,64.12
4/1/1961,22.7268,21.4397,75.3829,7.0,382747,39.1,1002.0,,267710.2492,42.2127,1073.1,1.42,2.29,1166.0,2.97,65.83
