sasdate,INDPRO
Transform:,5.0
1/1/1959,21.9998
2/1/1959,22.4306
3/1/1959,22.7538
4/1/1959,23.2384
5/1/1959,23.5885
6/1/1959,23.6155
7/1/1959,23.05
8/1/1959,22.2691
9/1/1959,22.2421
10/1/1959,22.0806
11/1/1959,22.2152
12/1/1959,23.5885
1/1/1960,24.2078
2/1/1960,23.9924
3/1/1960,23.777
4/1/1960,23.5885
5/1/1960,23.5616
6/1/1960,23.2654
7/1/1960,23.1846
8/1/1960,23.1577
9/1/1960,22.9153
10/1/1960,22.8884
11/1/1960,22.5653
12/1/1960,22.1344
1/1/1961,22.1613
2/1/1961,22.1344
3/1/1961,22.2691
4/1/1961,22.7268
5/1/1961,23.0769
6/1/1961,23.4
7/1/1961,23.6693
8/1/1961,23.8847
9/1/1961,23.8578
10/1/1961,24.3156
11/1/1961,24.6926
12/1/1961,24.908
1/1/1962,24.6925
2/1/1962,25.0964
3/1/1962,25.2311
4/1/1962,25.285
5/1/1962,25.258
6/1/1962,25.2042
7/1/1962,25.4465
8/1/1962,25.4734
9/1/1962,25.635
10/1/1962,25.6619
11/1/1962,25.7696
12/1/1962,25.7696
1/1/1963,25.9581
2/1/1963,26.2544
3/1/1963,26.4159
4/1/1963,26.6582
5/1/1963,26.9814
6/1/1963,27.0622
7/1/1963,26.9545
8/1/1963,27.0083
9/1/1963,27.2776
10/1/1963,27.4661
11/1/1963,27.6007
12/1/1963,27.5469
1/1/1964,27.7892
2/1/1964,27.9777
3/1/1964,27.9777
4/1/1964,28.4355
5/1/1964,28.597
6/1/1964,28.6778
7/1/1964,28.8663
8/1/1964,29.0548
9/1/1964,29.1625
10/1/1964,28.7586
11/1/1964,29.6472
12/1/1964,29.9973
1/1/1965,30.3204
2/1/1965,30.5089
3/1/1965,30.9128
4/1/1965,31.0474
5/1/1965,31.2898
6/1/1965,31.5321
7/1/1965,31.8283
8/1/1965,31.963
9/1/1965,32.0438
10/1/1965,32.3669
11/1/1965,32.5015
12/1/1965,32.9054
1/1/1966,33.2286
2/1/1966,33.444
3/1/1966,33.9018
4/1/1966,33.9556
5/1/1966,34.2787
6/1/1966,34.4403
7/1/1966,34.6288
8/1/1966,34.6557
9/1/1966,34.9789
10/1/1966,35.2212
11/1/1966,34.9788
12/1/1966,35.0596
1/1/1967,35.225
2/1/1967,34.8255
3/1/1967,34.6292
4/1/1967,34.9558
5/1/1967,34.6508
6/1/1967,34.6465
7/1/1967,34.5676
8/1/1967,35.2299
9/1/1967,35.1727
10/1/1967,35.4591
11/1/1967,35.9663
12/1/1967,36.3536
1/1/1968,36.3145
2/1/1968,36.4446
3/1/1968,36.5584
4/1/1968,36.6113
5/1/1968,37.022
6/1/1968,37.158
7/1/1968,37.101
8/1/1968,37.2045
9/1/1968,37.3454
10/1/1968,37.4196
11/1/1968,37.9036
12/1/1968,38.0233
1/1/1969,38.2533
2/1/1969,38.4981
3/1/1969,38.8
4/1/1969,38.6573
5/1/1969,38.5111
6/1/1969,38.8874
7/1/1969,39.0927
8/1/1969,39.1825
9/1/1969,39.1737
10/1/1969,39.1852
11/1/1969,38.8158
12/1/1969,38.7116
1/1/1970,37.9948
2/1/1970,37.9698
3/1/1970,37.9205
4/1/1970,37.823
5/1/1970,37.7789
6/1/1970,37.6567
7/1/1970,37.7491
8/1/1970,37.6818
9/1/1970,37.4221
10/1/1970,36.6735
11/1/1970,36.4514
12/1/1970,37.2885
1/1/1971,37.5753
2/1/1971,37.5037
3/1/1971,37.4631
4/1/1971,37.6735
5/1/1971,37.8646
6/1/1971,38.0234
7/1/1971,37.9131
8/1/1971,37.693
9/1/1971,38.3056
10/1/1971,38.5924
11/1/1971,38.7561
12/1/1971,39.2035
1/1/1972,40.1408
2/1/1972,40.5459
3/1/1972,40.8263
4/1/1972,41.2348
5/1/1972,41.2405
6/1/1972,41.3497
7/1/1972,41.3035
8/1/1972,41.879
9/1/1972,42.2132
10/1/1972,42.7494
11/1/1972,43.2548
12/1/1972,43.7367
1/1/1973,44.0529
2/1/1973,44.6827
3/1/1973,44.7045
4/1/1973,44.6387
5/1/1973,44.9429
6/1/1973,45.0035
7/1/1973,45.1636
8/1/1973,45.1019
9/1/1973,45.4624
10/1/1973,45.847
11/1/1973,46.0553
12/1/1973,45.923
1/1/1974,45.6204
2/1/1974,45.4759
3/1/1974,45.4777
4/1/1974,45.3451
5/1/1974,45.7044
6/1/1974,45.6238
7/1/1974,45.7221
8/1/1974,45.2366
9/1/1974,45.2365
10/1/1974,45.1133
11/1/1974,43.6278
12/1/1974,42.0533
1/1/1975,41.4676
2/1/1975,40.5165
3/1/1975,40.0638
4/1/1975,40.1573
5/1/1975,40.0253
6/1/1975,40.2772
7/1/1975,40.6994
8/1/1975,41.0998
9/1/1975,41.6304
10/1/1975,41.8135
11/1/1975,41.8697
12/1/1975,42.4414
1/1/1976,43.0012
2/1/1976,43.4229
3/1/1976,43.5168
4/1/1976,43.7327
5/1/1976,43.9186
6/1/1976,43.9637
7/1/1976,44.2141
8/1/1976,44.5182
9/1/1976,44.6721
10/1/1976,44.6585
11/1/1976,45.3392
12/1/1976,45.8294
1/1/1977,45.5087
2/1/1977,46.2277
3/1/1977,46.8185
4/1/1977,47.2684
5/1/1977,47.6411
6/1/1977,48.0116
7/1/1977,48.073
8/1/1977,48.1205
9/1/1977,48.3189
10/1/1977,48.3871
11/1/1977,48.4761
12/1/1977,48.5629
1/1/1978,47.8481
2/1/1978,48.1044
3/1/1978,49.0265
4/1/1978,50.0206
5/1/1978,50.254
6/1/1978,50.5801
7/1/1978,50.5384
8/1/1978,50.7458
9/1/1978,50.8744
10/1/1978,51.2559
11/1/1978,51.6514
12/1/1978,51.909
1/1/1979,51.6278
2/1/1979,51.8752
3/1/1979,52.0446
4/1/1979,51.4193
5/1/1979,51.8856
6/1/1979,51.8965
7/1/1979,51.8097
8/1/1979,51.4684
9/1/1979,51.4597
10/1/1979,51.8334
11/1/1979,51.7531
12/1/1979,51.7878
1/1/1980,52.0679
2/1/1980,52.082
3/1/1980,51.87
4/1/1980,50.8397
5/1/1980,49.589
6/1/1980,48.9482
7/1/1980,48.6039
8/1/1980,48.7563
9/1/1980,49.5608
10/1/1980,50.1908
11/1/1980,51.0311
12/1/1980,51.3708
1/1/1981,51.0415
2/1/1981,50.824
3/1/1981,51.0826
4/1/1981,50.858
5/1/1981,51.1495
6/1/1981,51.4101
7/1/1981,51.7471
8/1/1981,51.6826
9/1/1981,51.4337
10/1/1981,51.0281
11/1/1981,50.435
12/1/1981,49.8987
1/1/1982,48.8685
2/1/1982,49.8636
3/1/1982,49.5323
4/1/1982,49.075
5/1/1982,48.7483
6/1/1982,48.6214
7/1/1982,48.4616
8/1/1982,48.0192
9/1/1982,47.9008
10/1/1982,47.4371
11/1/1982,47.283
12/1/1982,46.9485
1/1/1983,47.8234
2/1/1983,47.5233
3/1/1983,47.9244
4/1/1983,48.5311
5/1/1983,48.8239
6/1/1983,49.123
7/1/1983,49.8546
8/1/1983,50.4443
9/1/1983,51.178
10/1/1983,51.5693
11/1/1983,51.7993
12/1/1983,52.0594
1/1/1984,53.0985
2/1/1984,53.3318
3/1/1984,53.5929
4/1/1984,53.91
5/1/1984,54.2026
6/1/1984,54.4014
7/1/1984,54.5521
8/1/1984,54.6083
9/1/1984,54.4466
10/1/1984,54.4406
11/1/1984,54.624
12/1/1984,54.6416
1/1/1985,54.6322
2/1/1985,54.7825
3/1/1985,54.8653
4/1/1985,54.7459
5/1/1985,54.8255
6/1/1985,54.7989
7/1/1985,54.5396
8/1/1985,54.7055
9/1/1985,54.8906
10/1/1985,54.7199
11/1/1985,54.9124
12/1/1985,55.4412
1/1/1986,55.7481
2/1/1986,55.3568
3/1/1986,54.9625
4/1/1986,55.0413
5/1/1986,55.1226
6/1/1986,54.9005
7/1/1986,55.2592
8/1/1986,55.1567
9/1/1986,55.2975
10/1/1986,55.5332
11/1/1986,55.7557
12/1/1986,56.2845
1/1/1987,56.0882
2/1/1987,56.8275
3/1/1987,56.9098
4/1/1987,57.2701
5/1/1987,57.6322
6/1/1987,57.9307
7/1/1987,58.3258
8/1/1987,58.7636
9/1/1987,58.9951
10/1/1987,59.781
11/1/1987,60.0726
12/1/1987,60.4095
1/1/1988,60.3976
2/1/1988,60.7003
3/1/1988,60.8501
4/1/1988,61.2031
5/1/1988,61.0797
6/1/1988,61.2569
7/1/1988,61.2659
8/1/1988,61.5731
9/1/1988,61.3807
10/1/1988,61.6453
11/1/1988,61.7944
12/1/1988,62.0743
1/1/1989,62.2574
2/1/1989,61.9819
3/1/1989,62.1369
4/1/1989,62.1276
5/1/1989,61.7744
6/1/1989,61.7697
7/1/1989,61.1738
8/1/1989,61.7732
9/1/1989,61.5796
10/1/1989,61.4966
11/1/1989,61.7044
12/1/1989,62.0428
1/1/1990,61.729
2/1/1990,62.2896
3/1/1990,62.5999
4/1/1990,62.4359
5/1/1990,62.6258
6/1/1990,62.8382
7/1/1990,62.7284
8/1/1990,62.9475
9/1/1990,62.9523
10/1/1990,62.5845
11/1/1990,61.7887
12/1/1990,61.3352
1/1/1991,61.1355
2/1/1991,60.6838
3/1/1991,60.3346
4/1/1991,60.4938
5/1/1991,61.0633
6/1/1991,61.5581
7/1/1991,61.7305
8/1/1991,61.7298
9/1/1991,62.2195
10/1/1991,62.1855
11/1/1991,62.0871
12/1/1991,61.7852
1/1/1992,61.4616
2/1/1992,61.8955
3/1/1992,62.4232
4/1/1992,62.897
5/1/1992,63.104
6/1/1992,63.1363
7/1/1992,63.7176
8/1/1992,63.3613
9/1/1992,63.5703
10/1/1992,63.9995
11/1/1992,64.2422
12/1/1992,64.3507
1/1/1993,64.5978
2/1/1993,64.9089
3/1/1993,64.8522
4/1/1993,65.0301
5/1/1993,64.784
6/1/1993,64.9301
7/1/1993,65.1052
8/1/1993,65.0267
9/1/1993,65.3717
10/1/1993,65.8509
11/1/1993,66.1518
12/1/1993,66.5436
1/1/1994,66.7351
2/1/1994,66.774
3/1/1994,67.4552
4/1/1994,67.8541
5/1/1994,68.1663
6/1/1994,68.6265
7/1/1994,68.7178
8/1/1994,69.1785
9/1/1994,69.3961
10/1/1994,69.9544
11/1/1994,70.4326
12/1/1994,71.1523
1/1/1995,71.2734
2/1/1995,71.193
3/1/1995,71.3113
4/1/1995,71.1882
5/1/1995,71.5378
6/1/1995,71.7749
7/1/1995,71.4748
8/1/1995,72.4223
9/1/1995,72.7144
10/1/1995,72.5866
11/1/1995,72.7779
12/1/1995,73.0305
1/1/1996,72.6125
2/1/1996,73.6752
3/1/1996,73.585
4/1/1996,74.3172
5/1/1996,74.8726
6/1/1996,75.4433
7/1/1996,75.4549
8/1/1996,75.8411
9/1/1996,76.3158
10/1/1996,76.3384
11/1/1996,77.0397
12/1/1996,77.5333
1/1/1997,77.6562
2/1/1997,78.5833
3/1/1997,79.082
4/1/1997,79.1747
5/1/1997,79.6133
6/1/1997,79.9792
7/1/1997,80.6624
8/1/1997,81.4694
9/1/1997,82.2156
10/1/1997,82.9446
11/1/1997,83.5978
12/1/1997,83.9538
1/1/1998,84.3218
2/1/1998,84.4583
3/1/1998,84.488
4/1/1998,84.7779
5/1/1998,85.3367
6/1/1998,84.8248
7/1/1998,84.4986
8/1/1998,86.248
9/1/1998,86.2021
10/1/1998,86.7914
11/1/1998,86.7256
12/1/1998,87.1185
1/1/1999,87.4949
2/1/1999,88.027
3/1/1999,88.2267
4/1/1999,88.4295
5/1/1999,88.9886
6/1/1999,88.9188
7/1/1999,89.4333
8/1/1999,89.7924
9/1/1999,89.4299
10/1/1999,90.523
11/1/1999,90.9618
12/1/1999,91.6634
1/1/2000,91.538
2/1/2000,91.8239
3/1/2000,92.1504
4/1/2000,92.6989
5/1/2000,92.9499
6/1/2000,92.9862
7/1/2000,92.8048
8/1/2000,92.5521
9/1/2000,92.9792
10/1/2000,92.6179
11/1/2000,92.6438
12/1/2000,92.3415
1/1/2001,91.902
2/1/2001,91.3034
3/1/2001,91.1162
4/1/2001,90.7891
5/1/2001,90.3555
6/1/2001,89.8784
7/1/2001,89.3028
8/1/2001,89.2003
9/1/2001,88.7485
10/1/2001,88.5052
11/1/2001,87.97
12/1/2001,87.9324
1/1/2002,88.5176
2/1/2002,88.5278
3/1/2002,89.1686
4/1/2002,89.604
5/1/2002,89.964
6/1/2002,90.7061
7/1/2002,90.6769
8/1/2002,90.5762
9/1/2002,90.6531
10/1/2002,90.4643
11/1/2002,90.9711
12/1/2002,90.4652
1/1/2003,91.2361
2/1/2003,91.3445
3/1/2003,91.1044
4/1/2003,90.5617
5/1/2003,90.537
6/1/2003,90.6527
7/1/2003,91.1185
8/1/2003,90.9197
9/1/2003,91.5059
10/1/2003,91.6186
11/1/2003,92.2329
12/1/2003,92.2602
1/1/2004,92.4006
2/1/2004,92.958
3/1/2004,92.5861
4/1/2004,92.93
5/1/2004,93.6013
6/1/2004,92.871
7/1/2004,93.5649
8/1/2004,93.6277
9/1/2004,93.7467
10/1/2004,94.5465
11/1/2004,94.7813
12/1/2004,95.5365
1/1/2005,95.8801
2/1/2005,96.5761
3/1/2005,96.4456
4/1/2005,96.6532
5/1/2005,96.7402
6/1/2005,97.1753
7/1/2005,96.8676
8/1/2005,97.1833
9/1/2005,95.3005
10/1/2005,96.4572
11/1/2005,97.5414
12/1/2005,98.0452
1/1/2006,98.1999
2/1/2006,98.2413
3/1/2006,98.4628
4/1/2006,98.7618
5/1/2006,98.7869
6/1/2006,99.0997
7/1/2006,99.0489
8/1/2006,99.4836
9/1/2006,99.3183
10/1/2006,99.2044
11/1/2006,99.1627
