variable,adf_stat,p_value,lags,n_obs,stationary
INDPRO,-6.792202772459516,2.3491529343038723e-09,10,750,True
RPI,-6.501820432270427,1.1567749048441775e-08,19,739,True
IPFPNSS,-6.627731924093135,5.818815326832092e-09,9,751,True
IPFUELS,-9.149140692365563,2.716328064049371e-15,15,745,True
CUMFNS,-7.075854340896811,4.804293329253584e-10,10,750,True
HWI,-5.771947133911813,5.36693047184107e-07,20,739,True
HWIURATIO,-7.485892934371979,4.6403028885083274e-11,18,740,True
UNRATE,-15.219667714321737,5.507721957196452e-28,3,755,True
UEMPMEAN,-5.953230310743916,2.122764872694504e-07,18,740,True
UEMPLT5,-11.457203558707404,5.668413111463972e-21,9,749,True
UEMP5TO14,-17.5601142088271,4.1006427419105945e-30,3,755,True
UEMP15OV,-14.452132973465291,7.069866434983857e-27,1,757,True
UEMP15T26,-13.910908568958636,5.512790767339631e-26,4,754,True
CLAIMSx,-12.153091374546328,1.5540719273292429e-22,6,754,True
USGOOD,-6.70413303565406,3.823028155658801e-09,5,755,True
CES1021000001,-6.469093280522735,1.3814670882441642e-08,8,752,True
MANEMP,-6.85679078265368,1.6406525813656004e-09,5,755,True
CES0600000007,-3.2017302611457077,0.019884743110904563,3,757,True
AWOTMAN,-35.29708208033006,0.0,0,760,True
HOUST,-3.3928305858123466,0.011205718027281663,16,741,True
HOUSTS,-3.1334181012131865,0.02417692864530861,12,745,True
HOUSTW,-3.672839868633497,0.004511816603487663,16,741,True
PERMIT,-3.688781464736851,0.004273748817204141,15,742,True
PERMITNE,-2.9502284699870946,0.03981115677689237,18,739,True
PERMITS,-3.4234842861781316,0.010183875504533951,15,742,True
PERMITW,-3.717619958868786,0.0038720302373472623,16,741,True
ISRATIOx,-27.855248639792055,0.0,0,758,True
M1SL,-11.44966614369347,5.900394705021234e-21,15,745,True
CONSPI,-5.190852486780111,9.178131962130521e-06,12,746,True
S&P div yield,-8.103746961630817,1.27919576970495e-12,20,738,True
S&P PE ratio,-9.368267129752677,7.497269471224392e-16,8,751,True
FEDFUNDS,-5.599764524151683,1.2726581492042764e-06,16,744,True
COMPAPFFx,-5.063129101320676,1.6620476100882914e-05,4,755,True
TB3SMFFM,-4.21837480560643,0.0006132666890459892,15,745,True
T1YFFM,-5.652712478967732,9.77729323779369e-07,6,754,True
T5YFFM,-5.646344598561775,1.009316574982784e-06,16,744,True
EXUSUKx,-13.49474841859426,3.057313200538392e-25,2,758,True
EXCAUSx,-7.631659711226289,2.001370723373678e-11,11,749,True
PPICMM,-11.440673751267,6.1897954182491675e-21,15,743,True
DDURRG3M086SBEA,-10.720749111542027,3.1555662020696364e-19,13,745,True
VIXCLSx,-5.769661269763372,5.429425708191596e-07,4,756,True
