variable,adf_stat,p_value,lags,n_obs,stationary
INDPRO,-6.717033158212724,3.560474604368904e-09,10,682,True
IPMANSICS,-6.653512818554343,5.0511184234616824e-09,10,682,True
CUMFNS,-20.341644686941017,0.0,0,692,True
UNRATE,-14.554824233242876,4.900438880770071e-27,3,687,True
CLAIMSx,-11.601039292646433,2.648470850575271e-21,6,686,True
CES0600000007,-2.9295066232334657,0.04202280191879864,3,689,True
PERMIT,-3.602342816610885,0.005716395763105952,15,674,True
ANDENOx,-10.153086873728823,7.857181410843702e-18,6,685,True
CMRMTSPLx,-27.414818631179255,0.0,0,690,True
BUSLOANS,-9.68059840153708,1.207568128630004e-16,14,678,True
M2REAL,-5.353743528048862,4.233399416796415e-06,8,682,True
COMPAPFFx,-5.062767756638248,1.664814479342864e-05,4,687,True
T10YFFM,-5.306236719246985,5.315099923981128e-06,16,676,True
HOUST,-2.8229736265422183,0.05506634309463705,13,676,False
OILPRICEx,-10.891108898003512,1.2245010523877248e-19,18,674,True
S&P 500,-10.291461056840115,3.561006914731413e-18,5,687,True
