origin_idx,origin_date,alpha,l1_ratio,fit_intercept,max_iter,random_state
100,1976-06-01,0.001,0.0,True,50000,24
112,1977-06-01,0.01,0.1,True,50000,24
124,1978-06-01,0.001,0.7,True,50000,24
136,1979-06-01,0.01,0.5,True,50000,24
148,1980-06-01,0.001,1.0,True,50000,24
160,1981-06-01,0.001,0.5,True,50000,24
172,1982-06-01,0.001,0.5,True,50000,24
184,1983-06-01,0.2,0.0,True,50000,24
196,1984-06-01,0.3,0.0,True,50000,24
208,1985-06-01,0.001,0.3,True,50000,24
220,1986-06-01,0.01,0.3,True,50000,24
232,1987-06-01,0.01,0.5,True,50000,24
244,1988-06-01,1.0,0.0,True,50000,24
256,1989-06-01,1.0,0.0,True,50000,24
268,1990-06-01,0.01,0.5,True,50000,24
280,1991-06-01,0.001,0.0,True,50000,24
292,1992-06-01,0.001,0.1,True,50000,24
304,1993-06-01,0.01,0.3,True,50000,24
316,1994-06-01,0.4,0.0,True,50000,24
328,1995-06-01,0.001,0.5,True,50000,24
340,1996-06-01,1.0,0.0,True,50000,24
352,1997-06-01,0.8,0.0,True,50000,24
364,1998-06-01,0.001,0.0,True,50000,24
376,1999-06-01,0.01,0.0,True,50000,24
388,2000-06-01,0.01,0.3,True,50000,24
400,2001-06-01,0.001,0.1,True,50000,24
412,2002-06-01,0.001,0.0,True,50000,24
424,2003-06-01,0.3,0.0,True,50000,24
436,2004-06-01,0.01,0.3,True,50000,24
448,2005-06-01,0.01,0.3,True,50000,24
460,2006-06-01,0.01,0.3,True,50000,24
472,2007-06-01,0.01,0.3,True,50000,24
484,2008-06-01,0.001,0.0,True,50000,24
496,2009-06-01,0.001,0.0,True,50000,24
508,2010-06-01,0.001,0.0,True,50000,24
520,2011-06-01,0.001,0.9,True,50000,24
532,2012-06-01,0.01,0.3,True,50000,24
544,2013-06-01,0.01,0.3,True,50000,24
556,2014-06-01,0.01,0.3,True,50000,24
568,2015-06-01,0.001,0.0,True,50000,24
580,2016-06-01,0.001,0.0,True,50000,24
592,2017-06-01,1.0,0.0,True,50000,24
604,2018-06-01,0.01,0.3,True,50000,24
616,2019-06-01,1.0,0.0,True,50000,24
628,2020-06-01,0.01,0.3,True,50000,24
640,2021-06-01,0.001,0.7,True,50000,24
652,2022-06-01,0.001,1.0,True,50000,24
664,2023-06-01,0.01,0.3,True,50000,24
676,2024-06-01,0.01,0.3,True,50000,24
688,2025-06-01,0.01,0.3,True,50000,24
