origin_idx,origin_date,forecast_date,forecast_logdiff,actual_logdiff,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
100,1976-06-01,1976-07-01,-0.010850947934675961,0.0056794493189409,RMSE_full,MAE_full,HitRate_full,RMSE_pre-GFC,MAE_pre-GFC,HitRate_pre-GFC,RMSE_GFC,MAE_GFC,HitRate_GFC,RMSE_post-GFC/pre-COVID,MAE_post-GFC/pre-COVID,HitRate_post-GFC/pre-COVID,RMSE_COVID,MAE_COVID,HitRate_COVID,RMSE_post-COVID,MAE_post-COVID,HitRate_post-COVID,Time elapsed [s]
101,1976-07-01,1976-08-01,0.003479857413217312,0.006854351585718,0.009494337597294178,0.0055937041884360425,0.6480541455160744,0.007135520488601228,0.005206103033477659,0.6675603217158177,0.012164761534997506,0.007503856786831877,0.782608695652174,0.00557561197418222,0.0043427133209152265,0.59375,0.026152606560216767,0.013237245060613224,0.6578947368421053,0.005600017444806285,0.004570048979343087,0.5172413793103449,739.29
102,1976-08-01,1976-09-01,0.0069265664059651915,0.0034510513529513,NAIVE_RMSE_full,NAIVE_MAE_full,NAIVE_HitRate_full,NAIVE_RMSE_pre-GFC,NAIVE_MAE_pre-GFC,NAIVE_HitRate_pre-GFC,NAIVE_RMSE_GFC,NAIVE_MAE_GFC,NAIVE_HitRate_GFC,NAIVE_RMSE_post-GFC/pre-COVID,NAIVE_MAE_post-GFC/pre-COVID,NAIVE_HitRate_post-GFC/pre-COVID,NAIVE_RMSE_COVID,NAIVE_MAE_COVID,NAIVE_HitRate_COVID,NAIVE_RMSE_post-COVID,NAIVE_MAE_post-COVID,NAIVE_HitRate_post-COVID,
103,1976-09-01,1976-10-01,0.03880157110437756,-0.0003044869306836,0.009758604539207596,0.005670520962698502,0.0,0.006742664968084927,0.0052486934455759585,0.0,0.014221643587282937,0.009628664559958942,0.0,0.005088008511139036,0.004129516666313324,0.0,0.028277546127060554,0.013457583622320269,0.0,0.005789977074515499,0.0045548151013672855,0.0,
104,1976-10-01,1976-11-01,0.030065418252012394,0.0151273417142681,,,,,,,,,,,,,,,,,,,
105,1976-11-01,1976-12-01,0.012488491787748688,0.0107538061144394,,,,,,,,,,,,,,,,,,,
106,1976-12-01,1977-01-01,0.012941484029182748,-0.0070222901040648,,,,,,,,,,,,,,,,,,,
107,1977-01-01,1977-02-01,0.023218140203032533,0.0156756690486763,,,,,,,,,,,,,,,,,,,
108,1977-02-01,1977-03-01,0.0012339027243468163,0.0126992384400579,,,,,,,,,,,,,,,,,,,
109,1977-03-01,1977-04-01,0.02540904840496571,0.0095635721668867,,,,,,,,,,,,,,,,,,,
110,1977-04-01,1977-05-01,0.010146184812690777,0.0078538379353396,,,,,,,,,,,,,,,,,,,
111,1977-05-01,1977-06-01,0.019786508530969353,0.007746814316869,,,,,,,,,,,,,,,,,,,
112,1977-06-01,1977-07-01,0.012154209094034944,0.0012780405675312,,,,,,,,,,,,,,,,,,,
113,1977-07-01,1977-08-01,0.006485973697209799,0.0009875927970335,,,,,,,,,,,,,,,,,,,
114,1977-08-01,1977-09-01,0.011237980915741384,0.0041145067243357,,,,,,,,,,,,,,,,,,,
115,1977-09-01,1977-10-01,0.016572059748437215,0.0014104608050469,,,,,,,,,,,,,,,,,,,
116,1977-10-01,1977-11-01,0.01632148108796819,0.0018376437087685,,,,,,,,,,,,,,,,,,,
117,1977-11-01,1977-12-01,0.004034920216188854,0.0017889719215924,,,,,,,,,,,,,,,,,,,
118,1977-12-01,1978-01-01,0.003019969150884952,-0.0148284552105955,,,,,,,,,,,,,,,,,,,
119,1978-01-01,1978-02-01,0.012757766342465723,0.0053422393279238,,,,,,,,,,,,,,,,,,,
120,1978-02-01,1978-03-01,0.0006646017160715206,0.0189873192292036,,,,,,,,,,,,,,,,,,,
121,1978-03-01,1978-04-01,0.022053117843342986,0.0200739523307373,,,,,,,,,,,,,,,,,,,
122,1978-04-01,1978-05-01,0.016448429654257427,0.0046552251817142,,,,,,,,,,,,,,,,,,,
123,1978-05-01,1978-06-01,0.002666824729830688,0.0064680725447341,,,,,,,,,,,,,,,,,,,
124,1978-06-01,1978-07-01,0.010067179098204815,-0.0008247749395784,,,,,,,,,,,,,,,,,,,
125,1978-07-01,1978-08-01,-0.007822507941887913,0.0040954125102032,,,,,,,,,,,,,,,,,,,
126,1978-08-01,1978-09-01,-0.015171704759918544,0.0025309942048967,,,,,,,,,,,,,,,,,,,
127,1978-09-01,1978-10-01,0.007233427908795138,0.0074708832622936,,,,,,,,,,,,,,,,,,,
128,1978-10-01,1978-11-01,0.006381590543590676,0.0076865673724948,,,,,,,,,,,,,,,,,,,
129,1978-11-01,1978-12-01,0.011632794156886131,0.0049748848264123,,,,,,,,,,,,,,,,,,,
130,1978-12-01,1979-01-01,0.0015447950345446057,-0.005431898444077,,,,,,,,,,,,,,,,,,,
131,1979-01-01,1979-02-01,-0.002206823439407449,0.0047805468665731,,,,,,,,,,,,,,,,,,,
132,1979-02-01,1979-03-01,0.004786520546499546,0.0032602093161364,,,,,,,,,,,,,,,,,,,
133,1979-03-01,1979-04-01,0.005173289108545583,-0.0120874549161809,,,,,,,,,,,,,,,,,,,
134,1979-04-01,1979-05-01,0.0029530783153891593,0.0090277066611546,,,,,,,,,,,,,,,,,,,
135,1979-05-01,1979-06-01,0.006404667807534343,0.0002100554920372,,,,,,,,,,,,,,,,,,,
136,1979-06-01,1979-07-01,0.005511446276338939,-0.001673960096288,,,,,,,,,,,,,,,,,,,
137,1979-07-01,1979-08-01,-0.006044624947052035,-0.0066093633100501,,,,,,,,,,,,,,,,,,,
138,1979-08-01,1979-09-01,0.002920010527929436,-0.0001690500460171,,,,,,,,,,,,,,,,,,,
