origin_idx,origin_date,colsample_bytree,importance_type,max_depth,n_estimators,random_state,subsample,verbosity
100,1976-06-01,0.8,gain,3,100,42,0.8,-1
112,1977-06-01,0.8,gain,3,100,42,0.8,-1
124,1978-06-01,0.8,gain,3,100,42,0.8,-1
136,1979-06-01,0.8,gain,3,100,42,0.8,-1
148,1980-06-01,0.8,gain,5,100,42,0.8,-1
160,1981-06-01,0.8,gain,3,100,42,0.8,-1
172,1982-06-01,0.8,gain,5,100,42,0.8,-1
184,1983-06-01,0.8,gain,3,500,42,0.8,-1
196,1984-06-01,0.8,gain,-1,500,42,0.8,-1
208,1985-06-01,0.8,gain,-1,100,42,0.8,-1
220,1986-06-01,0.8,gain,3,500,42,0.8,-1
232,1987-06-01,0.8,gain,5,100,42,0.8,-1
244,1988-06-01,0.8,gain,3,100,42,0.8,-1
256,1989-06-01,0.8,gain,-1,100,42,0.8,-1
268,1990-06-01,0.8,gain,3,100,42,0.8,-1
280,1991-06-01,0.8,gain,5,100,42,0.8,-1
292,1992-06-01,0.8,gain,5,100,42,0.8,-1
304,1993-06-01,0.8,gain,-1,100,42,0.8,-1
316,1994-06-01,0.8,gain,5,100,42,0.8,-1
328,1995-06-01,0.8,gain,3,100,42,0.8,-1
340,1996-06-01,0.8,gain,3,100,42,0.8,-1
352,1997-06-01,0.8,gain,-1,100,42,0.8,-1
364,1998-06-01,0.8,gain,-1,500,42,0.8,-1
376,1999-06-01,0.8,gain,-1,100,42,0.8,-1
388,2000-06-01,0.8,gain,5,500,42,0.8,-1
400,2001-06-01,0.8,gain,3,100,42,0.8,-1
412,2002-06-01,0.8,gain,-1,100,42,0.8,-1
424,2003-06-01,0.8,gain,3,100,42,0.8,-1
436,2004-06-01,0.8,gain,5,500,42,0.8,-1
448,2005-06-01,0.8,gain,5,100,42,0.8,-1
460,2006-06-01,0.8,gain,5,100,42,0.8,-1
472,2007-06-01,0.8,gain,-1,100,42,0.8,-1
484,2008-06-01,0.8,gain,5,100,42,0.8,-1
496,2009-06-01,0.8,gain,-1,100,42,0.8,-1
508,2010-06-01,0.8,gain,3,500,42,0.8,-1
520,2011-06-01,0.8,gain,3,100,42,0.8,-1
532,2012-06-01,0.8,gain,3,100,42,0.8,-1
544,2013-06-01,0.8,gain,3,100,42,0.8,-1
556,2014-06-01,0.8,gain,5,500,42,0.8,-1
568,2015-06-01,0.8,gain,3,500,42,0.8,-1
580,2016-06-01,0.8,gain,3,100,42,0.8,-1
592,2017-06-01,0.8,gain,5,500,42,0.8,-1
604,2018-06-01,0.8,gain,-1,100,42,0.8,-1
616,2019-06-01,0.8,gain,3,100,42,0.8,-1
628,2020-06-01,0.8,gain,-1,500,42,0.8,-1
640,2021-06-01,0.8,gain,-1,500,42,0.8,-1
652,2022-06-01,0.8,gain,5,100,42,0.8,-1
664,2023-06-01,0.8,gain,5,100,42,0.8,-1
676,2024-06-01,0.8,gain,-1,100,42,0.8,-1
688,2025-06-01,0.8,gain,3,100,42,0.8,-1
