origin_idx,origin_date,forecast_date,forecast_logdiff,actual_logdiff,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
100,6/1/1976,7/1/1976,-0.005035533,0.005679449,RMSE_full,MAE_full,HitRate_full,RMSE_pre-GFC,MAE_pre-GFC,HitRate_pre-GFC,RMSE_GFC,MAE_GFC,HitRate_GFC,RMSE_post-GFC/pre-COVID,MAE_post-GFC/pre-COVID,HitRate_post-GFC/pre-COVID,RMSE_COVID,MAE_COVID,HitRate_COVID,RMSE_post-COVID,MAE_post-COVID,HitRate_post-COVID,Time elapsed [s]
101,7/1/1976,8/1/1976,0.008954208,0.006854352,0.009634341,0.00557813,0.642978003,0.00658494,0.004994134,0.659517426,0.012567261,0.008505936,0.695652174,0.005637406,0.004300342,0.6328125,0.027876452,0.013727245,0.631578947,0.007078459,0.005729206,0.448275862,135.44
102,8/1/1976,9/1/1976,0.007593335,0.003451051,NAIVE_RMSE_full,NAIVE_MAE_full,NAIVE_HitRate_full,NAIVE_RMSE_pre-GFC,NAIVE_MAE_pre-GFC,NAIVE_HitRate_pre-GFC,NAIVE_RMSE_GFC,NAIVE_MAE_GFC,NAIVE_HitRate_GFC,NAIVE_RMSE_post-GFC/pre-COVID,NAIVE_MAE_post-GFC/pre-COVID,NAIVE_HitRate_post-GFC/pre-COVID,NAIVE_RMSE_COVID,NAIVE_MAE_COVID,NAIVE_HitRate_COVID,NAIVE_RMSE_post-COVID,NAIVE_MAE_post-COVID,NAIVE_HitRate_post-COVID,
103,9/1/1976,10/1/1976,0.003751587,-0.000304487,0.012047798,0.006721468,0.603389831,0.007887389,0.005756496,0.638069705,0.015505428,0.009779727,0.739130435,0.006540413,0.005058757,0.5546875,0.035854123,0.018196021,0.631578947,0.009475088,0.008088699,0.24137931,
104,10/1/1976,11/1/1976,-0.001898476,0.015127342,,,,,,,,,,,,,,,,,,,
105,11/1/1976,12/1/1976,0.007804983,0.010753806,,,,,,,,,,,,,,,,,,,
106,12/1/1976,1/1/1977,0.006455481,-0.00702229,,,,,,,,,,,,,,,,,,,
107,1/1/1977,2/1/1977,-0.004157462,0.015675669,,,,,,,,,,,,,,,,,,,
108,2/1/1977,3/1/1977,0.006379696,0.012699238,,,,,,,,,,,,,,,,,,,
109,3/1/1977,4/1/1977,0.00272809,0.009563572,,,,,,,,,,,,,,,,,,,
110,4/1/1977,5/1/1977,0.00790945,0.007853838,,,,,,,,,,,,,,,,,,,
111,5/1/1977,6/1/1977,0.010061007,0.007746814,,,,,,,,,,,,,,,,,,,
112,6/1/1977,7/1/1977,0.005993105,0.001278041,,,,,,,,,,,,,,,,,,,
113,7/1/1977,8/1/1977,0.003086984,0.000987593,,,,,,,,,,,,,,,,,,,
114,8/1/1977,9/1/1977,0.001764157,0.004114507,,,,,,,,,,,,,,,,,,,
115,9/1/1977,10/1/1977,0.001785348,0.001410461,,,,,,,,,,,,,,,,,,,
116,10/1/1977,11/1/1977,-0.00025746,0.001837644,,,,,,,,,,,,,,,,,,,
117,11/1/1977,12/1/1977,0.00226257,0.001788972,,,,,,,,,,,,,,,,,,,
118,12/1/1977,1/1/1978,0.001879096,-0.014828455,,,,,,,,,,,,,,,,,,,
119,1/1/1978,2/1/1978,-0.003147767,0.005342239,,,,,,,,,,,,,,,,,,,
120,2/1/1978,3/1/1978,0.000651165,0.018987319,,,,,,,,,,,,,,,,,,,
121,3/1/1978,4/1/1978,0.009613917,0.020073952,,,,,,,,,,,,,,,,,,,
122,4/1/1978,5/1/1978,0.010559907,0.004655225,,,,,,,,,,,,,,,,,,,
123,5/1/1978,6/1/1978,0.00610592,0.006468073,,,,,,,,,,,,,,,,,,,
