origin_idx,origin_date,forecast_date,forecast_logdiff,actual_logdiff,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
100,1976-06-01,1976-07-01,-0.0029662549978784498,0.0056794493189409,RMSE_full,MAE_full,HitRate_full,RMSE_pre-GFC,MAE_pre-GFC,HitRate_pre-GFC,RMSE_GFC,MAE_GFC,HitRate_GFC,RMSE_post-GFC/pre-COVID,MAE_post-GFC/pre-COVID,HitRate_post-GFC/pre-COVID,RMSE_COVID,MAE_COVID,HitRate_COVID,RMSE_post-COVID,MAE_post-COVID,HitRate_post-COVID,Time elapsed [s]
101,1976-07-01,1976-08-01,-0.0025272139263965154,0.006854351585718,0.009448149543980251,0.005528087197453862,0.6277495769881557,0.006333075834429089,0.004798087097409944,0.6729222520107239,0.013575219732594406,0.009389825211826382,0.5217391304347826,0.005333988516025763,0.004389822997715652,0.578125,0.02755125669775617,0.014698976097194984,0.5263157894736842,0.006079305863861044,0.004861676934079429,0.4827586206896552,309.82
102,1976-08-01,1976-09-01,0.0014896091966917924,0.0034510513529513,NAIVE_RMSE_full,NAIVE_MAE_full,NAIVE_HitRate_full,NAIVE_RMSE_pre-GFC,NAIVE_MAE_pre-GFC,NAIVE_HitRate_pre-GFC,NAIVE_RMSE_GFC,NAIVE_MAE_GFC,NAIVE_HitRate_GFC,NAIVE_RMSE_post-GFC/pre-COVID,NAIVE_MAE_post-GFC/pre-COVID,NAIVE_HitRate_post-GFC/pre-COVID,NAIVE_RMSE_COVID,NAIVE_MAE_COVID,NAIVE_HitRate_COVID,NAIVE_RMSE_post-COVID,NAIVE_MAE_post-COVID,NAIVE_HitRate_post-COVID,
103,1976-09-01,1976-10-01,0.013834940269767785,-0.0003044869306836,0.009758604539207596,0.005670520962698502,0.0,0.006742664968084927,0.0052486934455759585,0.0,0.014221643587282937,0.009628664559958942,0.0,0.005088008511139036,0.004129516666313324,0.0,0.028277546127060554,0.013457583622320269,0.0,0.005789977074515499,0.0045548151013672855,0.0,
104,1976-10-01,1976-11-01,0.00898078400958794,0.0151273417142681,,,,,,,,,,,,,,,,,,,
105,1976-11-01,1976-12-01,0.00860254744949048,0.0107538061144394,,,,,,,,,,,,,,,,,,,
106,1976-12-01,1977-01-01,0.005335738877616517,-0.0070222901040648,,,,,,,,,,,,,,,,,,,
107,1977-01-01,1977-02-01,0.005494477204611796,0.0156756690486763,,,,,,,,,,,,,,,,,,,
108,1977-02-01,1977-03-01,0.00646446928241939,0.0126992384400579,,,,,,,,,,,,,,,,,,,
109,1977-03-01,1977-04-01,0.010080416512041234,0.0095635721668867,,,,,,,,,,,,,,,,,,,
110,1977-04-01,1977-05-01,0.0078425688635021,0.0078538379353396,,,,,,,,,,,,,,,,,,,
111,1977-05-01,1977-06-01,0.010966413408212146,0.007746814316869,,,,,,,,,,,,,,,,,,,
112,1977-06-01,1977-07-01,0.007542462144929096,0.0012780405675312,,,,,,,,,,,,,,,,,,,
113,1977-07-01,1977-08-01,0.004413003600157983,0.0009875927970335,,,,,,,,,,,,,,,,,,,
114,1977-08-01,1977-09-01,0.003897687049368082,0.0041145067243357,,,,,,,,,,,,,,,,,,,
115,1977-09-01,1977-10-01,0.00978373812457031,0.0014104608050469,,,,,,,,,,,,,,,,,,,
116,1977-10-01,1977-11-01,0.007192656296070297,0.0018376437087685,,,,,,,,,,,,,,,,,,,
117,1977-11-01,1977-12-01,0.0048177815680191804,0.0017889719215924,,,,,,,,,,,,,,,,,,,
118,1977-12-01,1978-01-01,0.004985462196756985,-0.0148284552105955,,,,,,,,,,,,,,,,,,,
119,1978-01-01,1978-02-01,0.00424740807080691,0.0053422393279238,,,,,,,,,,,,,,,,,,,
120,1978-02-01,1978-03-01,0.005198248819785985,0.0189873192292036,,,,,,,,,,,,,,,,,,,
121,1978-03-01,1978-04-01,0.015170771752388198,0.0200739523307373,,,,,,,,,,,,,,,,,,,
122,1978-04-01,1978-05-01,0.021860233696001388,0.0046552251817142,,,,,,,,,,,,,,,,,,,
123,1978-05-01,1978-06-01,0.0016053568588416302,0.0064680725447341,,,,,,,,,,,,,,,,,,,
124,1978-06-01,1978-07-01,0.004742885368022679,-0.0008247749395784,,,,,,,,,,,,,,,,,,,
