origin_idx,origin_date,hidden_layer_sizes,activation,alpha,max_iter,random_state,solver,learning_rate
100,1976-06-01,6,tanh,0.01,5000,24,lbfgs,adaptive
112,1977-06-01,6,relu,0.1,5000,24,lbfgs,adaptive
124,1978-06-01,1,tanh,0.01,5000,24,lbfgs,adaptive
136,1979-06-01,1,relu,0.01,5000,24,lbfgs,adaptive
148,1980-06-01,1,relu,0.01,5000,24,lbfgs,adaptive
160,1981-06-01,13,relu,0.01,5000,24,lbfgs,adaptive
172,1982-06-01,13,tanh,0.0001,5000,24,lbfgs,adaptive
184,1983-06-01,26,relu,0.1,5000,24,lbfgs,adaptive
196,1984-06-01,1,relu,0.1,5000,24,lbfgs,adaptive
208,1985-06-01,6,tanh,0.1,5000,24,lbfgs,adaptive
220,1986-06-01,100,tanh,0.01,5000,24,lbfgs,adaptive
232,1987-06-01,100,tanh,1.0,5000,24,lbfgs,adaptive
244,1988-06-01,13,tanh,1.0,5000,24,lbfgs,adaptive
256,1989-06-01,13,relu,0.0001,5000,24,lbfgs,adaptive
268,1990-06-01,1,relu,0.01,5000,24,lbfgs,adaptive
280,1991-06-01,13,tanh,0.01,5000,24,lbfgs,adaptive
292,1992-06-01,13,relu,0.1,5000,24,lbfgs,adaptive
304,1993-06-01,1,relu,0.1,5000,24,lbfgs,adaptive
316,1994-06-01,6,tanh,0.0001,5000,24,lbfgs,adaptive
328,1995-06-01,6,tanh,0.01,5000,24,lbfgs,adaptive
340,1996-06-01,1,tanh,0.01,5000,24,lbfgs,adaptive
352,1997-06-01,26,relu,0.0001,5000,24,lbfgs,adaptive
364,1998-06-01,100,tanh,0.1,5000,24,lbfgs,adaptive
376,1999-06-01,100,tanh,0.1,5000,24,lbfgs,adaptive
388,2000-06-01,6,tanh,0.1,5000,24,lbfgs,adaptive
400,2001-06-01,100,tanh,0.1,5000,24,lbfgs,adaptive
412,2002-06-01,100,tanh,0.01,5000,24,lbfgs,adaptive
424,2003-06-01,13,relu,0.1,5000,24,lbfgs,adaptive
436,2004-06-01,1,relu,0.1,5000,24,lbfgs,adaptive
448,2005-06-01,6,relu,1.0,5000,24,lbfgs,adaptive
460,2006-06-01,6,relu,1.0,5000,24,lbfgs,adaptive
472,2007-06-01,13,tanh,0.0001,5000,24,lbfgs,adaptive
484,2008-06-01,13,tanh,0.0001,5000,24,lbfgs,adaptive
496,2009-06-01,26,tanh,0.0001,5000,24,lbfgs,adaptive
508,2010-06-01,26,tanh,0.001,5000,24,lbfgs,adaptive
520,2011-06-01,1,relu,0.01,5000,24,lbfgs,adaptive
532,2012-06-01,1,relu,0.01,5000,24,lbfgs,adaptive
544,2013-06-01,13,relu,1.0,5000,24,lbfgs,adaptive
556,2014-06-01,1,tanh,0.0001,5000,24,lbfgs,adaptive
568,2015-06-01,26,tanh,0.1,5000,24,lbfgs,adaptive
580,2016-06-01,100,relu,0.1,5000,24,lbfgs,adaptive
592,2017-06-01,13,relu,0.1,5000,24,lbfgs,adaptive
604,2018-06-01,26,tanh,1.0,5000,24,lbfgs,adaptive
616,2019-06-01,13,tanh,1.0,5000,24,lbfgs,adaptive
628,2020-06-01,6,relu,0.1,5000,24,lbfgs,adaptive
640,2021-06-01,6,relu,0.0001,5000,24,lbfgs,adaptive
652,2022-06-01,6,relu,0.01,5000,24,lbfgs,adaptive
664,2023-06-01,13,tanh,0.1,5000,24,lbfgs,adaptive
676,2024-06-01,1,relu,0.0001,5000,24,lbfgs,adaptive
688,2025-06-01,6,relu,1.0,5000,24,lbfgs,adaptive
