origin_idx,origin_date,loss,penalty,alpha,l1_ratio,epsilon,random_state
100,1976-06-01,huber,elasticnet,0.001,0.85,1.0,24
112,1977-06-01,huber,elasticnet,0.001,0.15,1.0,24
124,1978-06-01,huber,elasticnet,0.01,0.15,1.0,24
136,1979-06-01,huber,elasticnet,0.1,0.15,1.0,24
148,1980-06-01,huber,elasticnet,0.001,0.5,1.0,24
160,1981-06-01,huber,elasticnet,0.001,0.15,1.0,24
172,1982-06-01,huber,elasticnet,0.001,0.15,1.0,24
184,1983-06-01,huber,elasticnet,0.001,0.15,1.0,24
196,1984-06-01,huber,elasticnet,0.001,0.15,1.0,24
208,1985-06-01,huber,elasticnet,0.001,0.85,1.0,24
220,1986-06-01,huber,elasticnet,0.1,0.5,1.0,24
232,1987-06-01,huber,elasticnet,0.01,0.85,1.0,24
244,1988-06-01,huber,elasticnet,0.01,0.5,1.35,24
256,1989-06-01,huber,elasticnet,0.01,0.15,1.0,24
268,1990-06-01,huber,elasticnet,0.01,0.5,1.0,24
280,1991-06-01,huber,elasticnet,0.001,0.15,1.0,24
292,1992-06-01,huber,elasticnet,0.001,0.5,1.0,24
304,1993-06-01,huber,elasticnet,0.001,0.5,1.0,24
316,1994-06-01,huber,elasticnet,0.001,0.5,1.0,24
328,1995-06-01,huber,elasticnet,0.001,0.5,1.0,24
340,1996-06-01,huber,elasticnet,0.01,0.5,1.0,24
352,1997-06-01,huber,elasticnet,0.001,0.15,1.0,24
364,1998-06-01,huber,elasticnet,0.001,0.5,1.0,24
376,1999-06-01,huber,elasticnet,0.001,0.5,1.0,24
388,2000-06-01,huber,elasticnet,0.1,0.15,1.0,24
400,2001-06-01,huber,elasticnet,0.001,0.15,1.0,24
412,2002-06-01,huber,elasticnet,0.001,0.15,1.0,24
424,2003-06-01,huber,elasticnet,0.001,0.15,1.0,24
436,2004-06-01,huber,elasticnet,0.01,0.5,1.0,24
448,2005-06-01,huber,elasticnet,0.2,0.15,1.0,24
460,2006-06-01,huber,elasticnet,0.01,0.5,1.0,24
472,2007-06-01,huber,elasticnet,0.01,0.5,1.0,24
484,2008-06-01,huber,elasticnet,0.001,0.5,1.0,24
496,2009-06-01,huber,elasticnet,0.001,0.15,1.0,24
508,2010-06-01,huber,elasticnet,0.001,0.15,1.0,24
520,2011-06-01,huber,elasticnet,0.1,0.5,1.0,24
532,2012-06-01,huber,elasticnet,0.01,0.5,1.0,24
544,2013-06-01,huber,elasticnet,0.01,0.15,1.0,24
556,2014-06-01,huber,elasticnet,0.01,0.85,1.0,24
568,2015-06-01,huber,elasticnet,0.001,0.5,1.0,24
580,2016-06-01,huber,elasticnet,0.001,0.15,1.0,24
592,2017-06-01,huber,elasticnet,0.001,0.15,1.0,24
604,2018-06-01,huber,elasticnet,0.1,0.5,1.0,24
616,2019-06-01,huber,elasticnet,0.01,0.15,1.0,24
628,2020-06-01,huber,elasticnet,0.001,0.15,1.0,24
640,2021-06-01,huber,elasticnet,0.001,0.85,1.0,24
652,2022-06-01,huber,elasticnet,0.01,0.5,1.0,24
664,2023-06-01,huber,elasticnet,0.1,0.5,1.0,24
676,2024-06-01,huber,elasticnet,0.01,0.5,1.0,24
688,2025-06-01,huber,elasticnet,0.1,0.15,1.0,24
