origin_idx,origin_date,loss,penalty,alpha,l1_ratio,epsilon
100,1976-06-01,huber,elasticnet,0.001,0.85,1.1
112,1977-06-01,huber,elasticnet,0.01,0.15,1.0
124,1978-06-01,huber,elasticnet,0.001,0.85,1.75
136,1979-06-01,huber,elasticnet,0.7,0.15,0.1
148,1980-06-01,huber,elasticnet,0.001,0.5,1.75
160,1981-06-01,huber,elasticnet,0.001,0.85,1.75
172,1982-06-01,huber,elasticnet,0.001,0.5,1.5
184,1983-06-01,huber,elasticnet,0.001,0.15,1.75
196,1984-06-01,huber,elasticnet,0.001,0.15,0.1
208,1985-06-01,huber,elasticnet,0.001,0.15,1.1
220,1986-06-01,huber,elasticnet,0.4,0.15,1.0
232,1987-06-01,huber,elasticnet,1.0,0.15,0.1
244,1988-06-01,huber,elasticnet,0.9,0.85,1.1
256,1989-06-01,huber,elasticnet,0.001,0.85,1.0
268,1990-06-01,huber,elasticnet,0.01,0.5,1.1
280,1991-06-01,huber,elasticnet,0.001,0.15,1.75
292,1992-06-01,huber,elasticnet,0.001,0.15,1.75
304,1993-06-01,huber,elasticnet,0.7,0.85,0.1
316,1994-06-01,huber,elasticnet,0.001,0.15,1.35
328,1995-06-01,huber,elasticnet,0.001,0.5,2.0
340,1996-06-01,huber,elasticnet,0.01,0.85,1.35
352,1997-06-01,huber,elasticnet,0.001,0.15,1.5
364,1998-06-01,huber,elasticnet,0.001,0.15,1.75
376,1999-06-01,huber,elasticnet,0.001,0.15,0.1
388,2000-06-01,huber,elasticnet,0.1,0.15,1.0
400,2001-06-01,huber,elasticnet,0.001,0.15,1.1
412,2002-06-01,huber,elasticnet,0.001,0.15,1.75
424,2003-06-01,huber,elasticnet,0.001,0.5,1.75
436,2004-06-01,huber,elasticnet,0.3,0.5,1.0
448,2005-06-01,huber,elasticnet,0.4,0.85,1.0
460,2006-06-01,huber,elasticnet,0.5,0.15,2.0
472,2007-06-01,huber,elasticnet,0.6,0.85,1.0
484,2008-06-01,huber,elasticnet,0.001,0.15,1.1
496,2009-06-01,huber,elasticnet,0.001,0.15,0.1
508,2010-06-01,huber,elasticnet,0.001,0.15,2.0
520,2011-06-01,huber,elasticnet,0.001,0.85,1.35
532,2012-06-01,huber,elasticnet,0.4,0.15,1.75
544,2013-06-01,huber,elasticnet,0.8,0.5,0.1
556,2014-06-01,huber,elasticnet,0.7,0.85,1.5
568,2015-06-01,huber,elasticnet,0.001,0.15,1.75
580,2016-06-01,huber,elasticnet,0.001,0.15,1.35
592,2017-06-01,huber,elasticnet,0.001,0.15,1.75
604,2018-06-01,huber,elasticnet,0.5,0.15,1.5
616,2019-06-01,huber,elasticnet,0.2,0.85,1.0
628,2020-06-01,huber,elasticnet,0.7,0.5,2.0
640,2021-06-01,huber,elasticnet,0.001,0.85,1.1
652,2022-06-01,huber,elasticnet,0.01,0.15,2.0
664,2023-06-01,huber,elasticnet,1.0,0.15,2.0
676,2024-06-01,huber,elasticnet,0.6,0.15,1.0
688,2025-06-01,huber,elasticnet,0.5,0.15,1.75
