origin_date,forecast_date,feature,feature_value,shap_value,prediction,base_value
1976-06-01,1976-07-01,INDPRO_lag0,0.0010263728636865,-4.801134275187598e-05,0.000512299605843903,0.0015318370199988189
1976-06-01,1976-07-01,INDPRO_lag1,0.0042418145250855,8.283603532675618e-07,0.000512299605843903,0.0015318370199988189
1976-06-01,1976-07-01,INDPRO_lag2,0.0049490355971983,0.00018125125226596157,0.000512299605843903,0.0015318370199988189
1976-06-01,1976-07-01,INDPRO_lag3,0.002160118714749,1.574892164170205e-05,0.000512299605843903,0.0015318370199988189
1976-06-01,1976-07-01,INDPRO_lag4,0.0097589294368396,-0.00010118379114880388,0.000512299605843903,0.0015318370199988189
1976-06-01,1976-07-01,INDPRO_lag5,0.0131037213318072,-0.0004144910342678824,0.000512299605843903,0.0015318370199988189
1976-06-01,1976-07-01,INDPRO_lag6,0.0135618859783548,-0.0003412933516914723,0.000512299605843903,0.0015318370199988189
1976-06-01,1976-07-01,INDPRO_lag7,0.00134316107532,-3.7916499053465286e-08,0.000512299605843903,0.0015318370199988189
1976-06-01,1976-07-01,INDPRO_lag8,0.0043885842792676,0.00022905528905382236,0.000512299605843903,0.0015318370199988189
1976-06-01,1976-07-01,INDPRO_lag9,0.0128274143058635,3.84523834553156e-05,0.000512299605843903,0.0015318370199988189
1976-06-01,1976-07-01,INDPRO_lag10,0.0097899049851579,-0.0002194168412556075,0.000512299605843903,0.0015318370199988189
1976-06-01,1976-07-01,INDPRO_lag11,0.0104277982971066,-0.0003602444555864912,0.000512299605843903,0.0015318370199988189
1976-06-01,1976-07-01,volatility_3m,0.0020907139786678543,0.0004756670795174153,0.000512299605843903,0.0015318370199988189
1976-06-01,1976-07-01,IPMANSICS_lag0,0.0010224620774423,-5.240047583910013e-05,0.000512299605843903,0.0015318370199988189
1976-06-01,1976-07-01,CUMFNS_lag0,-0.1097000000000036,-1.5225223648920788e-05,0.000512299605843903,0.0015318370199988189
1976-06-01,1976-07-01,UNRATE_lag0,0.1999999999999993,-0.0005943928020406115,0.000512299605843903,0.0015318370199988189
